id,Titulo,Autor,Ubicacion,Colección
000028752,La amortajada,"Bombal, María Luisa",Ch863/BOM/am,LITCH
000028755,Mama Rosa,"Debesa, Fernando",Ch862/DEB/ma,LITGE
000029012,Ternura,"Mistral, Gabriela",Ch861/MIS/te,LITGE
000029507,La espada mágica,"Solar, Hernán del",Ch863/SOL/es,LITCH
000029578,La nave de los locos,"Peri Rossi, Cristina",U863/PER/na,LITGE
000029684,Fuenteovejuna,"Vega, Lope de",862/VEG/fu,LITGE
000029730,El faro del fin del mundo,"Verne, Jules",843/VER/fa,LITGE
000029845,La cabaña del tío Tom,"Stowe, Harriet Beecher",813/STO/ca,LITGE
000029861,Viaje al centro de la tierra,"Verne, Jules",843/VER/vi,LITGE
000029898,Los de abajo,"Azuela, Mariano",M863/AZU/ab,LITGE
000029917,El mago de Oz,"Baum, Frank",813/BAU/mag,INFAN
000030027,Velero anclado : crónicas,"Coloane, Francisco",Ch/868/COL/ve,LITGE
000030031,La isla del tesoro,"Stevenson, Robert Louis",823/STE/is,LITGE
000030210,Teatro y fantasia : tres obras de teatro infantiles,"Pacheco M., Luz, adapt",808.82935/PAC/te,LITGE
000030213,Bola de sebo y otros cuentos,"Maupassant, Guy de",843/MAU/bo,LITGE
000030216,Aquellas mujercitas,"Alcott, Louisa May",813/ALC/aq,LITCH
000030274,Ruleta rusa,"Rodríguez Alvarado, Alejandra",Ch861/ROD/ru,LITGE
000030711,Romancero gitano,"García Lorca, Federico",861/GAR/ro,LITGE
000031003,Los piratas de la Malasia,"Salgari, Emilio",853/SAL/pi,LITGE
000031267,Cae la noche tropical,"Puig, Manuel",A863/PUI/cae,LITGE
000031399,"María, la portaestandarte","Bandeira, Pedro",B869/BAN/ma,LITGE
000031415,Chipana,"Carvajal, Víctor",Ch863/CAR/Ch,INFAN
000031461,Fábulas de Iriarte,"Iriarte, Tomás de",863/IRI/fa,LITGE
000031513,1973. El relato chileno visto desde el exterior,"Promis, José, ed",Ch863.009/PRO/re,LITCH
000034605,Chimalpopoca : niño azteca,"Balcells, Jacqueline",Ch863/BAL/Ch,LITCH
000036665,El león triunfante Philippa Carr [pseud.] ; trad. por Ariel Bignani,"Plaidy, Jean",823/CAR/le,LITGE
000036818,Páginas escogidas,"Martí, José",Cu868/MAR/pa,LITGE
000037281,El Niño que fue,"Bombal, María Luisa",Ch868/BOM/ni,LITGE
000037595,Historia de un caballo,"Tolstoi, León, graf",891.73/TOL/hi,LITGE
