id,Titulo,Autor,Ubicacion,Colección
000106390,Un cuarto propio,"Woolf, Virginia",824/WOO/cu,LITGE
000106395,Tribu,"Fritz, Ignacio",Ch863/FRI/tr,LITCH
000106396,San Román de la Llanura,"Oyarzún D., Pavel",Ch863/OYA/sa,LITCH
000106521,Abril Rojo,"Roncagliolo, Santiago",Pe863/RON/ab,LITGE
000106527,Artes menores (1964-2004),"Gandolfo, Pedro",Ch868/GAN/ar,LITCH
000106532,Momo,"Ende, Michael",833/END/mo,INFAN
000106595,Nadie quiere jugar conmigo,"Keselman, Gabriela",A863/KES/na,LITGE
000106614,Descubre y toca : escondidos en la granja,"Del Alba, Arlette, trad",808.068/DES,INFAN
000106615,Como escribir realmente mal,"Fine, Anne",823/FIN/co,INFAN
000106623,Abuelita Opalina,"Puncel, María",863/PUN/ab,INFAN
000106669,Taken for a ride : escritura de paso,"Oyarzún, Luis",Ch868/OYA/ta,LITCH
000106712,"Juan Florit caudillo de los veleros : vida, poesía y prosa","Florit, Juan",Ch860/FLO/ju,LITGE
000106749,Los países muertos,"Zurita, Raúl, prol",Ch861/ZUR/pa,LITCH
000106772,Los misterios,"Serrano, Miguel",Ch868/SER/mi,LITGE
000106814,Osvaldo Soriano : una contrautopía posmoderna,"Montes, Cristián",A863/MON/os,LITGE
000106959,Sus mejores cuentos,"Coloane, Francisco",Ch863/COL/su,LITCH
000106996,El albergue de las mujeres tristes,"Serrano, Marcela",Ch863/SER/al,LITCH
000107051,El Verbo descerrajado,Apostrophes Eds,H861.008/VER,LITGE
000107071,Papelucho en la clínica,"Paz, Marcela",Ch863/PAZ/pc,LITCH
000107115,"Yo, la peor de todas","Lamat, Estela",Ch861/LAM/yo,LITGE
000107138,Jerusalén,"Lagerl f, Selma",839.73/LAG/je,LITGE
000107199,Miradas lastimeras no quiero,"Radrigán, Flavia",Ch862/RAD/mi,LITGE
000107201,El topo que quería saber quién,"Holzwarth, Werner",833/HOL/to,LITGE
000107310,Dramaturgianueva : análisis de recursos formales,"Espinoza, Marco",808.2/DRA/an,LITGE
000107398,Cleo : historias,"Santana, Coté",Ch863/SAN/cl,INFAN
000107428,La misteriosa llama de la reina Loana,"Eco, Umberto",853/ECO/mi,LITGE
000107471,Selección de poesía 2005,"Concurso Nueva Poesía er. Santiago, Chile",Ch861.008/CON/se,LITCH
000107491,Romance del duende que me escribe las novelas,"Rivera Letelier, Hernán",Ch863/RIV/ro,LITCH
000107562,El libro de todos : antiguas leyendas quiché,"Latorre, Remberto",Ch862/LAT/li,LITCH
000107623,El lobo estepario,"Hesse, Hermann",833/HESS/lo,LITGE
000107629,Sobrevivir a un fusilamiento : ocho historias reales,"Zalaquett A., Cherie",364.660983/ZAL/so,LITCH
000107632,Palabras de Ortega en Chile,"Ortega y Gasset, José",868/ORTpa,LITGE
000107724,Karukiná : los onas en el universo,"Ojeda Figueroa, César",Ch863/OJE/ka,LITCH
000107767,El amor en los tiempos del cólera,"García Márquez, Gabriel",C863/GAR/am,LITGE
000107796,El veraneo y otros horrores,"Lafourcade, Enrique",Ch868/LAF/ve,LITCH
000107809,El caso de Charles Dexter Ward,"Lovecraft, H. P",813/LOV/ca,LITGE
000107834,"Manuel, en los labios por mucho tiempo","Mistral, Gabriela",Ch866/MIS/ma,LITCH
000107900,En el baño,"Wayne von K nigsl w, Andrea",C813/WAY/en,INFAN
000107906,"Quizapu : relatos, cuentos, leyendas, adivinanzas y otros mixtos de la camuna de San Clemente","Palma Martínez, Alejandrina comp",Ch860/PAL/qu,JUVEN
000107909,En busca de la flor negra,"Mendo, Miguel Angel",863/MEN/en,LITGE
000107925,Peripecias,"Benavente, David",Ch862/PER/te,LITCH
000107930,Al y Oli : dos vampiros sin dientes,"Menéndez, Elvira",863/MEN/al,LITGE
000107935,Todas íbamos a ser putas,"Fuentes, Roberto",Ch863/FUE/to,LITCH
000107943,El volcán,"Jara, Fátima de la",863/JAR/vo,INFAN
000107962,La colina Barrugota,"Jara, Fátima de la",863/JAR/co,INFAN
000107963,Penas del joven Werther,"Goethe, Johann Wolfgang von",833/GOE/pe,LITGE
000107964,La ola,"Jara, Fátima de la",863/JAR/ol,INFAN
000107971,El rayo y sus amigos,"Jara, Fátima de la",863/JAR/ra,INFAN
000107984,El niño que comía palabras,"Sturniolo, Norma",863/STU/ni,LITGE
000107994,Rosa está hecha un lío,"Chandro, Juan Carlos",863/ChA/ro,INFAN
000108052,Diálogos con la cultura : tertulias 2002 - 2003,Universidad Finis Terrae Chile,H860.9/DIA/cu,LITGE
000108056,Vidas vulnerables,"Simonetti, Pablo",Ch863/SIM/vi,LITCH
000108063,Conceptos básicos de expresión oral y escrita,"Aguayo Álvarez, Pamela",372.4/AGU/co,LITGE
000108064,Gabriela Mistral : única y diversa,"Mistral, Gabriela",Ch860//MIS/ga,LITCH
000108066,La medusa y otros textos inéditos,"Díaz-Casanueva, Humberto",Ch861/DIA/me,LITCH
000108122,Iniciación a las ciencias naturales,"Díaz Jiménez, María de las Mercedes",372.357/DIA/in,LITGE
000108152,Neruda : la biografía literaria,"Loyola, Hernán",Ch861/NER/lo,LITCH
000108153,En el coto de la mente,"Belli, Carlos Germán",Pe861/BEL/en,LITGE
000108154,Sangre como la mía,"Marchant Lazcano, Jorge",Ch863/MAR/sa,LITCH
000108155,El número Kaifman,"Ortega, Francisco",Ch863/ORT/nu,LITCH
000108326,La niña y su farol ; La Pincoya,Anónimo,808.83/NIÑ/fa,INFAN
000108359,Jugar al teatro,"Fernández Ladrón de Guevara, Miguel Ángel",808/FER/ju,LITGE
000108376,Dimitri,"De Lasa, Catherine",863/DEL/di,LITGE
000108382,El caso caraviscosa,"Joly, Fanny",863/JOL/ca,LITGE
000108422,La escuela : el reino de la belleza : antología de Gabriela Mistral para escolares de 1o. a 8o. bá,"Mistral, Gabriela",Ch860/MIS/es,LITCH
000108424,Aventura en Lima,Un veterano,Ch863/UN/av,LITCH
000108447,Memorias prematuras,"Gumucio Araya, Rafael",Ch863/GUM/me,LITCH
000108498,Adivinanzas : un libro para niños,"Hernández, Sergio",793.735/HER/ad,INFAN
000108590,Psicología infantil I,"Vera Villalobos, Víctor F",370.15/VER/ps,LITGE
000108692,El cazador y otros cuentos,Concurso de Cuentos de Revista Paula Santiago,Ch863.008/CON/ca,LITCH
000108833,Murciélaga : poemas y fotografías,"Qüense, Verónica",Ch861/QUE/mu,LITCH
000108861,Qué gane el más mejor : mérito y competencia en el Chile de hoy,"Engel, Eduardo",983.064/ENG/qu,LITGE
000108866,Cuentos grabados : antología imaginaria,"López, Marco",Ch863/LOP/cu,LITCH
000108873,El día del carnaval,"Cristaldi, Kathryn",863/CRI/di,INFAN
000108875,La villa,"Steel, Danielle",813/STE/vi,LITGE
000108887,Pasiones griegas,"Ampuero, Roberto, -",Ch863/AMP/pa,LITCH
000108892,Obra poética,"Hahn, Oscar",Ch861/HAH/ob,LITCH
000108893,Tlapalería,"Poniatowska, Elena",M863/PON/tl,LITGE
000108955,Obras públicas : ver para creer,"Parra, Nicanor",Ch861/PAR/ob 2006,LITGE
000109031,Cuadernos de Bárbara,"Délano Azócar, Bárbara",Ch861/DEL/cu,LITCH
000109040,Las cien águilas,"Marín, Germán",Ch863/MAR/ci,LITCH
000109050,Leopardo al sol,"Restrepo, Laura",C863/RES/le,LITGE
000109144,Marta y el hada Margarita,"Rodríguez, Mónica",863/ROD/ma,INFAN
000109310,Una niñera de cuidado,"Chandro, Juan Carlos",863/ChA/ni,INFAN
000109340,Las musas,"Barros, Cristián",Ch863/BAR/mu,LITCH
000109522,Ami y Perlita,"Barrios, Enrique",Ch863/BAR/ape,LITCH
000109531,Las aventuras del Super Bebe Panal : primera novela gráfica,"Pilkwey, Dav",813/PIL/av,INFAN
000109611,Nieve,"Pamuk, Orhan",894.353/PAM/ni,LITGE
000109711,Caballito azul. La gallina Serafina,"Rossel Santander, Verónica",863/ROS/ca,INFAN
000109712,"El patito feo. Brrr, el pingüino friolento","Andersen, H. C., Hans Christian",839.813/AND/pa,INFAN
000109742,Animales bebés,"Vera, Paula",590/VER/an,INFAN
000109743,Animales de la jungla,"Vera, Paula",590/VER/an,INFAN
000109761,A bañarse,"Vera, Paula",391.65/VER/ab,INFAN
000109765,Mar interior,"Soria-Galvarro Rebollo, Yuri",B863/SOR/ma,LITGE
000109785,Papaíto piernas largas,"Webster, Jean",813/WEB/pa,LITGE
000109796,Los sueños mágicos de Bartolo,"Paredes, Mauricio",Ch863/PAR/su,LITGE
000109800,Un Monstruo en el armario,"Vázquez-Vigo, Carmen",863/VAZ/mo,INFAN
000110059,El ladrón de ladrillos,"Aramburu, Fernando",863/ARA/la,INFAN
000110060,La hija del espantapájaros,"Gripe, Maria",839.73/GRI/hi,JUVEN
000110085,El libro negro,"Pamuk, Orhan",894.353/PAM/li,LITGE
000110099,"Obras completas : de ""Gato en el camino"" a ""Artefactos""","Parra, Nicanor",Ch861/PAR/ob,LITCH
000110181,Mundo de dinosaurios,"Schatz, Dennis",567.9/SCh/mu,INFAN
000110194,El maestro del emperador,"Gálvez, Pedro",863/GAL/ma,LITGE
000110222,"El laberinto : [tres secretos, dos mujeres, un grial]","Mosse, Kate",823/MOS/la,LITGE
000110300,Manual de Carreño : manual de urbanidad y buenas maneras,"Carreño, Manuel Antonio",C813/WIL/pe,LITGE
000110305,Historia contemporánea de Chile,"Salazar Vergara, Gabriel",983.04/SAL/hi,LITGE
000110324,Ami el niño de las estrellas,"Barrios, Enrique",Ch863/BAR/am,LITGE
000110325,Don Juan Tenorio,"Zorrilla, José",862/ZOR/jua,LITGE
000110370,Inés del alma mía,"Allende, Isabel",Ch863/ALL/in,LITCH
000110395,Travesuras de la niña mala,"Vargas Llosa, Mario",Pe863/VAR/ci,LITGE
000110403,Vidas vulnerables,"Simonetti, Pablo",Ch863/SIM/vi,LITCH
000110747,Fray Perico en la guerra,"Muñoz Martín, Juan",863/MUÑ/fpg,INFAN
000110820,Didáctica y evaluación de las artes,"Müller Prado, Wilson Boris",372.5/MU/di,LITGE
000110863,Canción para caminar sobre las aguas,"Rivera Letelier, Hernán",Ch863/RIV/ca,LITCH
000110874,Relatos de un mirador _= The onlooker's tales,"Muñoz Carreño, Rodrigo",770.983365/MUÑ/re,LITGE
000110893,La bruja de Portobello,"Coelho, Paulo",B869.3/COE/br,LITGE
000110918,Ideas para una educación de calidad,"Santa Cruz Sutil, Lucia, prol",370.110/DE/pa,LITGE
000111011,Relación personal,"Millán, Gonzalo",Ch861/MIL/re,LITCH
000111088,"Tarapacá : novela local, debida á la pluma del escritor don","Zola, Juanito",Ch863/ZOL/ta,LITCH
000111135,Sin cadenas,"Sánchez, Carlos Cuauhtémoc",M863/SAN/sa,LITGE
000111218,El origen del mundo,"Edwards, Jorge",Ch863/EDW/or,LITCH
000111243,El enigma del barquero y otros cuentos,"Devetach, Laura",A863/DEV/en,LITGE
000111429,Los refugios de piedra,"Auel, Jean M",813/AUE/re,LITGE
000111444,Quién sabe liberar a un dragón?,"Sánchez, Paloma",863/SAN/qu,INFAN
000111508,El doctor orangután,"Silva, María Luisa",Ch863/SIL/do,LITCH
000111532,"Soy dix-leso?, por Papelucho","Paz, Marcela",Ch863/PAZ/so,LITCH
000111569,Las noches del rey Edgardo,"Alegría Ramírez, Gloria A",Ch863/ALE/no,LITCH
000111577,Te amo y te odio : poesía erótica,"Uribe, Armando",Ch861/URI/te,LITCH
000111599,Un actor sin escenario,"Casas, Jaime",Ch863/CAS/ac,LITCH
000111607,Me llamo Rojo,"Pamuk, Orhan",894.353/PAM/me,LITGE
000111617,Primero es el sueño,"Latorre, Remberto",M862/LAT/pr,LITGE
000111682,Uniformes de la guerra del pacífico,"Fernández, Greve",355.0983/UNI,LITGE
000111699,Memoria de crímenes,"Bradbury, Ray",813/BRA/me,LITGE
000111709,Tierra marcada,"Cabrera Infante, Guillermo",H863/TIE,LITGE
000111714,"Jonás, la vida en vilo","Balcells, Ignacio",Ch863/BAL/jo,LITCH
000111751,Papelucho historiador,"Paz, Marcela",Ch863/PAZ/phi,INFAN
000111773,"La fe, el amor, la estupidez","Uribe, Armando",Ch861/URI/fe,LITCH
000111796,"La Negra Ester, décimas ; El desquite","Parra, Roberto",Ch860/PAR/ne,LITCH
000111878,Los desheredados,"Dávila León, Oscar",379.1530983/DAV/de,LITCH
000111929,La travesía del viajero del alba,"Lewis, C. S",823/LEW/tr,LITGE
000111935,"Obras ajenas, muertes y otras liberaciones","Medel Ziebrecht, Mauricio",Ch863/MED/ob,LITCH
000111939,La dama de las camelias,"Dumas, Alexandre",834/DUM/da,LITGE
000112010,Una nota estridente : (1968-1972),"Lihn, Enrique",Ch861/LIH/no,LITCH
000112104,Angeles y demonios,"Brown, Dan",813/BRO/an,LITGE
000112179,"Los versos, los años (1958-2006) : antología poética","Belli, Carlos Germán",Pe861//BEL/ve,LITGE
000112181,Fulgor del aire : antología poética,"Gelman, Juan",A861/GEL/fu,LITGE
000112191,Fundación,"Asimov, Isaac",813/ASI/fu,LITGE
000112234,El urogallo,"Tournier, Michel",843/TOU/ur,LITGE
000112408,Poemas de amor,"Zurita, Raúl, prol",Ch861/ZUR/po,LITCH
000112461,Cadáver tuerto,"Labarca Goddard, Eduardo",Ch863/LAB/ca,LITCH
000112681,Fantasmas en la casa rodante,"Silva, María Luisa",Ch863/SIL/fa,INFAN
000112710,El pájaro libro,"Franz Rosell, Joel",Cu863/FRA/pa,INFAN
000112730,Ahorcón : [poemas],"Uribe, Armando",Ch861/URI/ah,LITCH
000112742,Frin,"Pescetti, Luis Maria",A863/PES/fr,INFAN
000112769,"Borges, una biografía en imágenes","Vaccaro, Alejandro",928.61/BOR/va,LITGE
000112796,Historia de un niñito bueno : historia de un niñito malo,Twain Mark,813/TWA/hi,INFAN
000112820,Faltaban solo unas horas : aproximación a Joaquín Edwards Bello,"Benadava, Salvador",Ch868/EDW/be,LITCH
000112822,Recuerdos del pasado,"Pérez Rosales, Vicente",983/PER/re,LITGE
000112839,Autoformato,"Apablaza, Claudia",Ch863/APA/au,LITCH
000112959,Cartas de la memoria,"Pinto Solari, Malucha",Ch866.00809/PIN/ca,LITGE
000113074,Deber de urbanidad,"Rojas, Waldo",Ch861/ROJ/de,LITGE
000113161,"La literatura clásica griega : historia, textos, comentarios","García Alvarez, César",880.9/GAR/li,LITGE
000113181,Crepúsculo : un amor peligroso,"Meyer, Stephenie",813/MEY/cr,LITGE
000113199,Cuentos ambientales infantiles,Concurso Cuentos Infantiles,Ch863.008/CUE,LITGE
000113212,Cuenta el pueblo mapuche,"Koessler-Ilg, Berta",Ch898/KOE/cu,LITCH
000113223,La ropa,"Vera, Paula",646/VER/ro,INFAN
000113230,Mascotas,"Vera, Paula",636/VER/ma,INFAN
000113237,Animales salvajes,"Vera, Paula",590/VER/an,INFAN
000113242,Siri y Mateo,"Maturana, Andrea",Ch863/MAT/si,INFAN
000113246,Los chilenos en su tinto,"Pérez de Arce, Hermógenes",Ch864/PER/Ch,LITCH
000113248,Nadar a oscuras,"García Huidobro, Beatriz",Ch863/GAR/na,LITCH
000113262,Breve historia universal : (hasta el año 2000),"Krebs Wilckens, Ricardo",909/KRE/br,LITGE
000113272,Edipo Rey ; Antígona ; Electra,"Sófocles, - A. C",882/SOF/ed,LITGE
000113294,El clasificador,"Mihovilovi , Juan",Ch863/MIH/cl,LITCH
000113299,Alibarú : la ronda de las estaciones,"Plaza, José Ma. Jose Maria",861/PLA/ra,LITGE
000113384,Cuentos de Grimm y Perrault,"Grimm, Jacob Ludwig Karl",833.008/GRI/cu,LITGE
000113439,Cantos de tierra 2003,"Alarcón Romero, Edgardo",Ch861/ALA/co,LITCH
000113482,El secreto de los chamanes,"Wood, Barbara",823/WOO/se,LITGE
000113492,Cuentos chilenos : (una antología),"Río, Ana María del",Ch863.008/CUE/Ch,LITCH
000113493,Orlando,"Woolf, Virginia",823/WOO/or,LITGE
000113497,Tratado de responsabilidad extracontractual,"Barros Bourie, Enrique",346.8303/BAR/tr,LITGE
000113499,La s7ptima M,"Solar, Francisca",Ch863/SOL/se,LITCH
000113500,La sangre de los inocentes,"Navarro, Julia",863/NAV/SA,LITGE
000113544,Caballo de Troya 8 : Jordán,"Benítez, J. J",863/BEN/caj,LITGE
000113556,Manuela color canela,"Dreser, Elena",A863/DRE/ma,INFAN
000113588,Cuenta ratones,"Walsh, Ellen Stoll",808.068/WAL/cu,INFAN
000113614,Hilando en la memoria : 7 mujeres mapuches : poesía,"Falabella, Soledad",Ch898.1008/HIL,LITCH
000113616,La historia como conjetura : reflexiones sobre la narrativa de Jorge Edwards,"Ampuero, Roberto, -",Ch863/ED/am,LITCH
000113642,Ética e innovación tecnológica,"Lolas Stepke, Fernando",174.96/ETI,LITGE
000113690,El enigma Vivaldi,"Harris, Peter",813/HAR/en,LITGE
000113702,Embarazo y nacimiento eutónico : método Frida Kaplan,"Kaplan, Frida",618.24/KAP/em,LITGE
000113707,Apuntes autistas,"Fuguet, Alberto",Ch863/FUE/ap,LITCH
000113741,La inundación,"Lawrence, Michael",823/LAW/in,LITGE
000113815,Nicanor Parra : poeta imaginario = imaginary poet,"Gumucio Araya, Rafael",929/PAR/gu,LITGE
000113825,La mujer y el trabajo : 90 ideas para el autoempleo,"Alles, Martha Alicia",658.30083/ALL/mu,LITGE
000113908,Diccionario de recursos humanos : organización y dirección,"Fernández-Ríos, Manuel",813/LON/ll,LITGE
000114013,La universidad desconocida,"Bolaño, Roberto",Ch863/BOL/un,LITCH
000114017,El chupacabras de Pirque,"Pelayo P., Pepe",Ch863/PEL/Ch,INFAN
000114051,La vida es un supermercado,"Puchol, Luis",658.8342/PUC/vi,LITGE
000114140,El evangelio según Judas,"Iscariote, Benjamín",229.8/ISC/ev,LITGE
000114214,El misterio de las Tanias,"Edwards, Sebastián",Ch863/EDW/mi,LITGE
000114244,El escándalo Modigliani,"Follett, Ken",823/FOL/es,LITGE
000114248,Poesía reunida,"Rubio, Alberto",Ch861/RUB/po,LITCH
000114255,El color que cayó del cielo,"Lovecraft, H. P",813/LOV/co,LITGE
000114257,¿Quieren saber por qué les cuento cuentos Aónikenk?,"Schkolnik, Saúl",398.2089983/QUI/sa,INFAN
000114258,El creciente dorado : poesía islámica,"Kartal, Selim",Ch861/KAR/cr,LITCH
000114267,El lobero y otros cuentos de chiloé,"Concha Cosani, Beatriz",Ch863/CON/lo,INFAN
000114276,"El arte del buen gobierno : Agapito Diácono,","Soto Ayala, Roberto",888.109/SOT/ar,LITGE
000114300,El viaje bajo los quitasoles amarillos,"Emmerich, Fernando",Ch863/EMM/vi,LITCH
000114302,Utopía y mentira de la novela panóptica,"Rodríguez Fernández, Mario, ed",Ch863.09/UTO/me,LITCH
000114369,El sonido de la montaña,"Kawabata, Yasunari",895.63/KAW/so,LITGE
000114379,Los extravíos de su mirada : (cuentos),"Radrigán, Flavia",Ch863/RAD/ex,LITCH
000114462,Mo baila flamenco,"Barrientos Morales, Fresia",Ch863/BAR/mo,INFAN
000114466,Vicente y la clase de natación,"Barrientos Morales, Fresia",Ch863/BAR/vi,INFAN
000114494,Pablo Neruda esencial,"Neruda, Pablo",Ch860/NER/pa,LITCH
000114501,Vírgenes de Chile,"Pohlhammer, Erick",Ch861/POH/vi,LITCH
000114504,Por historia y travesura,"Peralta, Juan Bautista",Ch861/PER/po,LITCH
000114560,Dicho sea de paso : antología,"Bertoni Lemus, Claudio",Ch861/BER/di,LITCH
000114790,El viento de la Luna,"Muñoz Molina, Antonio",863/MUN/vi,LITGE
000114839,Me llamo Rojo,"Pamuk, Orhan",894.353/PAM/me,LITGE
000114855,La historia subyacente,"Valdés, Hernán",Ch863/VAL/hi,LITCH
000114868,La trilogía de las fiestas,"Muñoz Opazo, Rodrigo",Ch863/MUÑ/tr,LITCH
000114893,El cuento número trece,"Setterfield, Diane",823/SET/cu,LITGE
000114922,Matrioska,"Inkiow, Dimiter",833/INK/ma,LITGE
000114983,La catedral del Mar,"Falcones de Sierra, Ildefonso",863/FAL/ca,LITGE
000115112,El Chile que no queremos,"Villegas, Fernando",Ch863/VIL/Ch,LITGE
000115116,En las garras de los mataperros,"Pelayo P., Pepe",Cu863/PEL/en,INFAN
000115118,El Buda de oro,"Cussler, Clive",813/CUS/bu,LITGE
000115168,Folclor lingüístico chileno : paremiología,"Plath, Oreste",398.961/PLA/fo,LITGE
000115282,El conquistador,"Andahazi, Federico",A863/AND/co,LITGE
000115335,El abrazo del oso,"Forch, Juan",Ch863/FOR/ab,LITCH
000115403,Nicanor Parra de cuerpo entero : vida y obra del antipoeta,"Quezada, Jaime",928.61/PAR/qu,LITCH
000115404,Purgatorio,"Zurita, Raúl, prol",Ch861/ZUR/pu,LITGE
000115492,Introducción al estudio de los insectos de Chile,"Peña Guzmán, Luís E",595.70983/PEÑ/in,LITCH
000115509,Papelucho : mi hermano hippie,"Paz, Marcela",Ch863/PAZ/pa,INFAN
000115515,El último encuentro,"Márai, Sándor",894/MAR/ul,LITGE
000115536,El ejército de las sombras,"Clark, Simon",823/CLA/ej,LITGE
000115581,Una luz en el establo : [novela bíblico-histórica],"Capo, Jesús",863/CAP/lu,LITGE
000115778,"Odette, hija de la Revolución Francesa","Balcells, Jacqueline",Ch863/BAL/od,INFAN
000116935,Antología de Gibrán Jalil Gibrán,"Pérez, Floridor",892.7808/PER/an,LITGE
000116974,El último dinosaurio & otros cuentos,"Quintana, María Isabel",Ch863/QUI/ul,LITCH
000117188,Quiero ser famosa,"Bordons, Paloma",863/BOR/qu,INFAN
000117491,Galahad El hijo del santo grial,"Miles, Rosalind",823/MIL/ga,LITGE
000117759,"Mi testimonio de fe : el servicio público, el sentido del dolor","Longueira, Pablo",Ch868/LON/te,LITCH
000118120,La bruja que no sabía reír,"Mas, Hermínia",863/MAS/bru,LITGE
000118349,Puente de Cimbras,"Schuster, Hans",Ch861/SCh/pu,LITCH
000118398,Una peregrinación a través de las calles de Santiago,"Vicuña Mackenna, Benjamín",983/VIC/pe,LITGE
000118461,Antología,"Wilde, Oscar",823/WIL/ret,LITGE
000118463,El fantasma de Canterville y otros cuentos,"Wilde, Oscar",823/WIL/fa,LITGE
000119385,Papá ya no vive con nosotros,"Alonso, Manuel L",863/ALO/pap,INFAN
000119485,La visita del Jeque,"Stark, Ulf",839.7/STA/vi,LITGE
000119527,La familia Numerozzi,"Krahn, Fernando",863/KRA/fa,INFAN
000120197,Lazarillo de tormes Anónimo,Anónimo,863/LAZ,JUVEN
000120342,Un día en la vida de psiqué,"Balcells, Jacqueline",Ch863/BAL/ps,JUVEN
000120344,Un día en la vida de máximo,"Balcells, Jacqueline",Ch863/BAL/ma,JUVEN
000120345,Un día en la vida de esplandián,"Balcells, Jacqueline",Ch863/BAL/esp,INFAN
000120458,La hija del espantapájaros,"Gripe, María",839.73/GRI/hi,INFAN
000120641,La enfermedad del dolor,"González Celis, Alejandra Sofía",Ch861/GON/en,LITCH
000120647,"Mecachis, ¡quiero ser grande!","Alcántara, Ricardo",863/ALC/me,INFAN
000120719,Antología de obras teatrales,"Sieveking, Alejandro",Ch862/SIE/an,LITCH
000120741,X-men : los elementos dentro de nosotros 61,"Kelly, Joe",375.006/CAS/cu,LITGE
000120848,"Cuentacolmos, adivinanzas y frases traviesas 1","Moraga, Osvaldo il",398.6/CUE/ad,INFAN
000120866,El maravilloso mundo de la música,"Pahlen, Kurt",780/PAH/ma,LITGE
000120911,¿Quieren saber por qué les cuento cuentos Yámanas?,"Schkolnik, Saúl, comp",398.209833644/QUI/sa,INFAN
000120916,Emelina : novela,"Darío, Rubén",N863/DAR/em,LITCH
000120923,Garval,"Fernández-Pacheco, Miguel Miguel Angel",863/FER/ga,LITGE
000120940,Breve historia del traje y la moda,"Laver, James",391.009/LAV/br,LITGE
000120961,El libro de las tierras vírgenes,"Kipling, Rudyard",823/KIP/li,LITGE
000120975,La pieza oscura,"Lihn, Enrique",Ch861/LIH/pi,LITCH
000121343,Nano y Esmeralda,"Gómez Cerdá, Alfredo",863/GOM/na,JUVEN
000121373,Historia de Ninguno Pilar Mateos,"Mateos, Pilar",863/MAT/hi,LITCH
000121917,Un encuentro emocionante,"Gardé, Dominique",843/GAR/en,INFAN
000122368,Poesía mapuche : las raices azules de los antepasados,"Queupul Quintremil, Sebastián",898.1/QUE/po,LITCH
000122765,"Huákala, a los miedos López Suarez, Sergio","López Suarez, Sergio",863/LOP/hu,INFAN
000122770,"Yo te curaré, dijo el pequeño oso",Janosch,808/JAN/yo,INFAN
000122946,Gabriela y México,"Mistral, Gabriela",Ch860/GAB,LITCH
000123135,Cuatro calles y un problema,"Montes, Graciela",A863/MON/cu,LITGE
000123275,"La vanidad de los Duluoz : una educación audaz, 1935-1946","Kerouac, Jack",813/KER/va,LITGE
000123405,Cuentos aymara para los niños del mundo,"Callo Ticona, Saturnino, tr",898.324/KIM/ay,INFAN
000123444,Historia social de la danza en Chile,"Cifuentes Miranda, María José",792.620983/CIF/hi,LITGE
000123501,Vientos del sur,"Morales Baraona, Hugo",Ch863/MOR/vi,LITCH
000123733,Super curiosidades : 120 interrogantes y más datos increíbles,"Sugobono, Nahuel",036.102/SUG/su,INFAN
000123787,Agua perra,"Sanhueza, Leonardo",Ch868/SAN/ag,LITCH
000123810,"Sputnik, mi amor","Murakami, Haruki",895.63/MUR/sp,LITGE
000123831,Lagartija sin cola,"Donoso, José",Ch863/DON/la,LITCH
000123959,Deuda de honor,"Clancy, Tom",813/CLA/de,LITGE
000123972,La palabra y la música : poesía de Rainer Maria Rilke,"D rr, Otto",831/RIL/do,LITGE
000124166,Mitos griegos contados otra vez,"Hawthorne, Nathaniel",813/HAW/mi,LITGE
000124173,El insectario : como cazar bichos-- y preservarlos,"Ugarte P., Alfredo J",595.771/UGA/in,INFAN
000124423,Orientación e integración escolar,"Villena Pavez, Leonor",808.2/DRA,LITGE
000124471,Las soñadoras de la colina,"Carvajal, Victor",Ch863/CAR/so,LITCH
000124531,Los derechos de los animales,"Hidalgo González, Héctor",Ch863/HID/de,INFAN
000124548,Ejercicios de enlace,"Bustos Muñoz, David",Ch861/BUS/ej,LITCH
000124587,El mar de las maravillas,"Balcells, Jacqueline",Ch863/BAL/ma,JUVEN
000124656,La grandmother y otros,"Barros, Pía",Ch863/BAR/gr/c.2,LITCH
000124663,O-Caso : micro-cuentos,"Ojeda Villarroel, Liliana",Ch863/OJE/oc,LITCH
000124717,Cartas de la memoria,"Pinto Solari, Malucha",Ch866.0/PIN/ca,LITCH
000124788,Rafagas literarias : tercera muestra de microcuento,"Marchant, Reinaldo Edmundo, comp",Ch863.008/RAF,LITCH
000124854,La falsificación,"Archer, Jeffrey",823/ARC/fa,LITGE
000124955,Cielo de mala muerte,"Avaria, Antonio",Ch863/AVA/ci,LITCH
000124970,La secretísima : los cuentos de Román Calvo,"Edwards Vives, Alberto",Ch863/EDW/se,LITCH
000124973,"Como el río que fluye : [pensamientos y reflexiones, 1998-2005]","Coelho, Paulo",B869.5/COE/co,LITGE
000125017,Vaticano 2035,"Paoli, Pietro de",853/PAO/ra,LITGE
000125026,High school musical 2 : la novela,"Grace, N. B",813/GRA/hid,JUVEN
000125128,Mis ojos x tus ojos,"Fontaine Talavera, Arturo",Ch861/FON/mi,LITCH
000125232,Luna nueva,"Meyer, Stephenie",813/MEY/lu,LITGE
000125268,La teleserie eterna,"Oses, Darío",Ch863//OSE/te,LITCH
000125466,¡Hagamos UUUH!,"Mantegazza, Giovanna",155.41246/MAN/ha,INFAN
000125824,La dieta de la muerte : soy anoréxica y esta es mi historia,"Fuentes, Denisse",926.1685262/FUE/di,JUVEN
000125915,Una conspiración de papel,"Liss, David",813/LIS/co,LITGE
000125973,La ciudad de oro y de plomo,"Christopher, John",823/ChR/ci,LITGE
